STID|Class|Service Level|Service Description 1|Service Description 2
300|First Class|Nonautomation w/o IMb Tracing|No Address Corrections|
700|First Class|Nonautomation w/o IMb Tracing|Manual Corrections |
230|First Class|Nonautomation w/o IMb Tracing|OneCode ACS - ASR 1|Address Service Requested Opt 1
080|First Class|Nonautomation w/o IMb Tracing|OneCode ACS - ASR 2|Address Service Requested Opt 2
504|First Class|Nonautomation w/o IMb Tracing|OneCode ACS - CSR1|Change Service Requested Opt 1
082|First Class|Nonautomation w/o IMb Tracing|OneCode ACS - CSR 2|Change Service Requested Opt 2
341|First Class|Nonautomation w/o IMb Tracing|OneCode ACS - RSR 2|Return Service Requested Opt 2
345|First Class|Nonautomation w/o IMb Tracing|OneCode ACS - TRSR 2|Temp-Return Service Requested Opt 2
501|First Class|Nonautomation w/o IMb Tracing|Traditional ACS - ASR 1|Address Service Requested Opt 1
507|First Class|Nonautomation w/o IMb Tracing|Traditional ACS - ASR 2|Address Service Requested Opt 2
517|First Class|Nonautomation w/o IMb Tracing|Traditional ACS - CSR 1|Change Service Requested Opt 1
510|First Class|Nonautomation w/o IMb Tracing|Traditional ACS - CSR 2|Change Service Requested Opt 2
535|First Class|Nonautomation w/o IMb Tracing|Traditional ACS - RSR 2|Return Service Requested Opt 2
543|First Class|Nonautomation w/o IMb Tracing|Traditional ACS - TRSR 2|Temp-Return Service Requested Opt 2
704|Periodical|Nonautomation w/o IMb Tracing|Manual Corrections|
784|Periodical|Nonautomation w/o IMb Tracing|OneCode ACS|
600|Periodical|Nonautomation w/o IMb Tracing|Traditional ACS|
301|Standard|Nonautomation w/o IMb Tracing|No Address Corrections|
702|Standard|Nonautomation w/o IMb Tracing|Manual Corrections |
090|Standard|Nonautomation w/o IMb Tracing|OneCode ACS - ASR 1|Address Service Requested Opt 1
334|Standard|Nonautomation w/o IMb Tracing|OneCode ACS - ASR 2|Address Service Requested Opt 2
092|Standard|Nonautomation w/o IMb Tracing|OneCode ACS - CSR1|Change Service Requested Opt 1
513|Standard|Nonautomation w/o IMb Tracing|OneCode ACS - CSR 2|Change Service Requested Opt 2
272|Standard|Nonautomation w/o IMb Tracing|OneCode ACS - RSR 2|Return Service Requested Opt 2
540|Standard|Nonautomation w/o IMb Tracing|Traditional ACS - ASR 1|Address Service Requested Opt 1
547|Standard|Nonautomation w/o IMb Tracing|Traditional ACS - ASR 2|Address Service Requested Opt 2
560|Standard|Nonautomation w/o IMb Tracing|Traditional ACS - CSR 1|Change Service Requested Opt 1
565|Standard|Nonautomation w/o IMb Tracing|Traditional ACS - CSR 2|Change Service Requested Opt 2
570|Standard|Nonautomation w/o IMb Tracing|Traditional ACS - RSR 2|Return Service Requested Opt 2
401|Bound Printed Matter|Nonautomation w/o IMb Tracing|No Address Corrections|
706|Bound Printed Matter|Nonautomation w/o IMb Tracing|Manual Corrections |
424|Bound Printed Matter|Nonautomation w/o IMb Tracing|OneCode ACS - ASR 1|Address Service Requested Opt 1
